iter	Logloss	Recall:use_weights=true	Recall:use_weights=false
77	0.0006878035852	1	1
78	0.0006878035852	1	1
79	0.0006878028372	1	1
80	0.0006878028372	1	1
81	0.000687775682	1	1
82	0.000687763367	1	1
83	0.0006877529258	1	1
84	0.0006877273814	1	1
85	0.0006877217964	1	1
86	0.0006877145594	1	1
87	0.0006877008542	1	1
88	0.0006877008542	1	1
89	0.0006876949134	1	1
90	0.0006876834367	1	1
91	0.0006876822715	1	1
92	0.0006876717694	1	1
93	0.000687668645	1	1
94	0.000687649901	1	1
95	0.000687641598	1	1
96	0.0006876287444	1	1
97	0.000687625664	1	1
98	0.0006876193242	1	1
99	0.0006876099496	1	1
100	0.0006875977281	1	1
101	0.0006875882976	1	1
102	0.0006875763168	1	1
103	0.0006875732135	1	1
104	0.0006875623593	1	1
105	0.0006875582052	1	1
106	0.0006875494294	1	1
107	0.0006875449947	1	1
108	0.0006875449947	1	1
109	0.0006875407212	1	1
110	0.0006875347536	1	1
111	0.0006875249799	1	1
112	0.0006875032824	1	1
113	0.0006875006753	1	1
114	0.0006599018249	1	1
115	0.0006350962104	1	1
116	0.0006350820515	1	1
117	0.0006350820515	1	1
118	0.0006350580523	1	1
119	0.0006350441945	1	1
120	0.0006350434369	1	1
121	0.0006350429362	1	1
122	0.0006350371703	1	1
123	0.000635034857	1	1
124	0.0006350294629	1	1
125	0.0006350197365	1	1
126	0.00063500936	1	1
127	0.0006350018888	1	1
128	0.0006349984768	1	1
129	0.0006349948518	1	1
130	0.0006349863325	1	1
131	0.0006349863325	1	1
132	0.0006349686358	1	1
133	0.0006349425652	1	1
134	0.0006349318504	1	1
135	0.0006349272353	1	1
136	0.0006349181678	1	1
137	0.0006349145375	1	1
138	0.0006349007691	1	1
139	0.000634878657	1	1
140	0.000634878657	1	1
141	0.000634877033	1	1
142	0.000634877033	1	1
143	0.0006348715447	1	1
144	0.0006348669292	1	1
145	0.0006348669292	1	1
146	0.0006348648171	1	1
147	0.000634859883	1	1
148	0.000634859883	1	1
149	0.0006348557684	1	1
150	0.000634840159	1	1
151	0.000634840159	1	1
152	0.0006348305322	1	1
153	0.0006348193452	1	1
154	0.0006348093358	1	1
155	0.0006105777768	1	1
156	0.0006105729269	1	1
157	0.0006105680366	1	1
158	0.0006105680366	1	1
159	0.0006105592269	1	1
160	0.0006105554591	1	1
161	0.000610551666	1	1
162	0.000610551666	1	1
163	0.0006105441657	1	1
164	0.000610534949	1	1
165	0.0006105251061	1	1
166	0.0006105225664	1	1
167	0.0006105198105	1	1
168	0.0006105145354	1	1
169	0.0006105145354	1	1
170	0.0006104981441	1	1
171	0.0006104981441	1	1
172	0.0006104981441	1	1
173	0.0006104941739	1	1
174	0.0005885102984	1	1
175	0.0005884977257	1	1
176	0.0005884938762	1	1
177	0.0005884938762	1	1
178	0.00058848806	1	1
179	0.0005884819783	1	1
180	0.0005884772014	1	1
181	0.0005884738656	1	1
182	0.0005884703914	1	1
183	0.0005884703914	1	1
184	0.0005884703914	1	1
185	0.0005884523072	1	1
186	0.0005884459614	1	1
187	0.0005884424689	1	1
188	0.0005884348165	1	1
189	0.0005672996694	1	1
190	0.0005672989739	1	1
191	0.0005672842997	1	1
192	0.0005672760735	1	1
193	0.0005672744288	1	1
194	0.0005672744288	1	1
195	0.0005672638288	1	1
196	0.0005672638288	1	1
197	0.0005672581419	1	1
198	0.0005672558235	1	1
199	0.0005672452146	1	1
200	0.0005672452146	1	1
201	0.0005672380266	1	1
202	0.0005672141877	1	1
203	0.0005672141877	1	1
204	0.000567208095	1	1
205	0.0005672029156	1	1
206	0.0005672029156	1	1
207	0.0005671942472	1	1
208	0.0005671937297	1	1
209	0.0005671902672	1	1
210	0.0005671865928	1	1
211	0.0005671830767	1	1
212	0.0005671677099	1	1
213	0.0005671654057	1	1
214	0.0005671576085	1	1
215	0.0005671533495	1	1
216	0.0005671436513	1	1
217	0.0005671380309	1	1
218	0.0005671358605	1	1
219	0.0005671357029	1	1
220	0.0005671322516	1	1
221	0.0005671291711	1	1
222	0.0005671130395	1	1
223	0.0005671088215	1	1
224	0.0005670928338	1	1
225	0.0005670640805	1	1
226	0.0005670606559	1	1
227	0.0005670546955	1	1
228	0.0005670497775	1	1
229	0.0005670497775	1	1
230	0.0005670417563	1	1
231	0.0005670170605	1	1
232	0.0005670086261	1	1
233	0.000567002453	1	1
234	0.0005669951055	1	1
235	0.0005669883462	1	1
236	0.0005669757771	1	1
237	0.0005669678161	1	1
238	0.0005669624969	1	1
239	0.0005669624969	1	1
240	0.000566957075	1	1
241	0.0005669566572	1	1
242	0.0005669566572	1	1
243	0.0005669539246	1	1
244	0.0005669539246	1	1
245	0.0005669479931	1	1
246	0.0005669295338	1	1
247	0.0005669211074	1	1
248	0.0005669211074	1	1
249	0.0005668976273	1	1
250	0.0005668843652	1	1
251	0.0005668807882	1	1
252	0.0005668747483	1	1
253	0.0005668703392	1	1
254	0.0005668703392	1	1
255	0.0005668461849	1	1
256	0.0005668461849	1	1
257	0.0005668382297	1	1
258	0.0005668348203	1	1
259	0.000566821945	1	1
260	0.0005668186073	1	1
261	0.0005668145201	1	1
262	0.0005668121613	1	1
263	0.0005668056186	1	1
264	0.0005668019737	1	1
265	0.0005668019737	1	1
266	0.0005667870863	1	1
267	0.000566781334	1	1
268	0.0005667777579	1	1
269	0.0005667712334	1	1
270	0.0005667636924	1	1
271	0.0005667568494	1	1
272	0.0005667568494	1	1
273	0.0005667431192	1	1
274	0.0005667431192	1	1
275	0.0005667342947	1	1
276	0.0005667342947	1	1
277	0.0005667206493	1	1
278	0.0005667062338	1	1
279	0.0005667062338	1	1
280	0.0005666957802	1	1
281	0.0005666957802	1	1
282	0.0005666957802	1	1
283	0.000566689854	1	1
284	0.000566684345	1	1
285	0.000566672485	1	1
286	0.0005666625379	1	1
287	0.0005666577576	1	1
288	0.0005666353125	1	1
289	0.0005666323778	1	1
290	0.0005666196804	1	1
291	0.0005666065632	1	1
292	0.000566592024	1	1
293	0.000566592024	1	1
294	0.0005665794716	1	1
295	0.0005665765617	1	1
296	0.0005665730049	1	1
297	0.0005665629856	1	1
298	0.0005665529667	1	1
299	0.0005665466936	1	1
300	0.0005665436497	1	1
301	0.0005665367341	1	1
302	0.0005665254416	1	1
303	0.0005665185297	1	1
304	0.0005665155995	1	1
305	0.0005665155995	1	1
306	0.0005665112125	1	1
307	0.0005665036298	1	1
308	0.0005665002867	1	1
309	0.000566493068	1	1
310	0.000566493068	1	1
311	0.0005664896921	1	1
312	0.0005664896921	1	1
313	0.0005664815951	1	1
314	0.0005664794242	1	1
315	0.0005664737687	1	1
316	0.0005664737687	1	1
317	0.0005664683443	1	1
318	0.0005664641225	1	1
319	0.0005664352613	1	1
320	0.0005664317314	1	1
321	0.0005664317314	1	1
322	0.0005664298172	1	1
323	0.0005664265279	1	1
324	0.0005664150425	1	1
325	0.0005664121935	1	1
326	0.0005664079366	1	1
327	0.0005663944255	1	1
328	0.0005663778198	1	1
329	0.0005663778198	1	1
330	0.0005663712283	1	1
331	0.0005663712283	1	1
332	0.0005663707122	1	1
333	0.0005663645012	1	1
334	0.0005663645012	1	1
335	0.0005663512369	1	1
336	0.0005663512369	1	1
337	0.0005663509721	1	1
338	0.0005663509721	1	1
339	0.0005663468699	1	1
340	0.0005663397885	1	1
341	0.0005663335894	1	1
342	0.0005663275722	1	1
343	0.0005663247706	1	1
344	0.0005663176962	1	1
345	0.0005663143076	1	1
346	0.0005663143076	1	1
347	0.0005663087356	1	1
348	0.0005663087356	1	1
349	0.0005663083089	1	1
350	0.0005663028222	1	1
351	0.0005663028222	1	1
352	0.0005662963028	1	1
353	0.0005662955882	1	1
354	0.0005662920571	1	1
355	0.0005662823454	1	1
356	0.0005662803604	1	1
357	0.0005662767348	1	1
358	0.0005662767348	1	1
359	0.0005662640306	1	1
360	0.0005662575301	1	1
361	0.0005662493982	1	1
362	0.0005662493982	1	1
363	0.0005662493982	1	1
364	0.0005662439767	1	1
365	0.000566241076	1	1
366	0.0005662328806	1	1
367	0.0005662277152	1	1
368	0.0005662211548	1	1
369	0.0005662211548	1	1
370	0.0005662086544	1	1
371	0.0005662086544	1	1
372	0.0005661940289	1	1
373	0.0005661936989	1	1
374	0.0005661909966	1	1
375	0.0005661854639	1	1
376	0.0005661789703	1	1
377	0.0005661775233	1	1
378	0.0005661745819	1	1
379	0.0005661727335	1	1
380	0.0005661613712	1	1
381	0.0005661575787	1	1
382	0.0005661544168	1	1
383	0.0005661498467	1	1
384	0.0005661382487	1	1
385	0.0005661341372	1	1
386	0.0005661341372	1	1
387	0.0005661341372	1	1
388	0.0005661307351	1	1
389	0.0005661243138	1	1
390	0.0005661243138	1	1
391	0.0005661243138	1	1
392	0.0005661221425	1	1
393	0.000566119727	1	1
394	0.0005661071623	1	1
395	0.0005661050573	1	1
396	0.0005660983706	1	1
397	0.0005660951729	1	1
398	0.0005660951729	1	1
399	0.0005660943235	1	1
400	0.0005660896638	1	1
401	0.0005660655037	1	1
402	0.000566039436	1	1
403	0.000566039436	1	1
404	0.0005660376557	1	1
405	0.000566030361	1	1
406	0.000566030361	1	1
407	0.0005660267326	1	1
408	0.0005660256601	1	1
409	0.0005660222459	1	1
410	0.000566008463	1	1
411	0.0005659936749	1	1
412	0.0005659922922	1	1
413	0.0005659922922	1	1
414	0.0005659868339	1	1
415	0.0005659724529	1	1
416	0.0005659648251	1	1
417	0.0005659586698	1	1
418	0.0005659586698	1	1
419	0.0005659560993	1	1
420	0.0005659541954	1	1
421	0.0005659513015	1	1
422	0.0005659445383	1	1
423	0.0005659355551	1	1
424	0.0005659281274	1	1
425	0.0005659156416	1	1
426	0.0005659156416	1	1
427	0.0005659156416	1	1
428	0.0005659034233	1	1
429	0.0005658958249	1	1
430	0.0005658831662	1	1
431	0.0005658758045	1	1
432	0.0005658758045	1	1
433	0.0005658716583	1	1
434	0.0005658677283	1	1
435	0.0005658614173	1	1
436	0.000565848159	1	1
437	0.000565843596	1	1
438	0.0005658401095	1	1
439	0.0005658401095	1	1
440	0.0005658401095	1	1
441	0.0005658379627	1	1
442	0.0005658226422	1	1
443	0.0005658076552	1	1
444	0.0005658045134	1	1
445	0.0005658020425	1	1
446	0.0005657905824	1	1
447	0.0005657881062	1	1
448	0.0005657700005	1	1
449	0.0005657579923	1	1
450	0.0005657579923	1	1
451	0.0005657460939	1	1
452	0.0005657398021	1	1
453	0.0005657398021	1	1
454	0.0005657317641	1	1
455	0.0005657221296	1	1
456	0.0005657221296	1	1
457	0.0005657190175	1	1
458	0.0005657190175	1	1
459	0.0005657155392	1	1
460	0.0005657155392	1	1
461	0.0005657124198	1	1
462	0.0005657045602	1	1
463	0.0005657045602	1	1
464	0.0005657020353	1	1
465	0.0005657020353	1	1
466	0.0005656988973	1	1
467	0.0005656988973	1	1
468	0.0005656880283	1	1
469	0.0005656658055	1	1
470	0.0005656626661	1	1
471	0.0005656578404	1	1
472	0.0005656578404	1	1
473	0.0005656520429	1	1
474	0.0005656485515	1	1
475	0.0005656485515	1	1
476	0.0005656452007	1	1
477	0.0005656392952	1	1
478	0.0005656251705	1	1
479	0.0005656225868	1	1
480	0.0005656225868	1	1
481	0.000565598908	1	1
482	0.0005655854812	1	1
483	0.0005655730842	1	1
484	0.0005655654821	1	1
485	0.0005655654821	1	1
486	0.0005655621632	1	1
487	0.0005655496057	1	1
488	0.0005655353491	1	1
489	0.0005655221871	1	1
490	0.0005655135816	1	1
491	0.0005655135816	1	1
492	0.0005655112989	1	1
493	0.0005655112989	1	1
494	0.0005654974088	1	1
495	0.0005654922287	1	1
496	0.0005654922287	1	1
497	0.0005654899617	1	1
498	0.0005654899617	1	1
499	0.0005654764063	1	1
500	0.0005654764063	1	1
501	0.0005654730224	1	1
502	0.0005654664066	1	1
503	0.0005654664066	1	1
504	0.0005654664066	1	1
505	0.0005654607978	1	1
506	0.0005654604623	1	1
507	0.0005654585036	1	1
508	0.0005654580651	1	1
509	0.0005654580651	1	1
510	0.0005654507369	1	1
511	0.0005654437299	1	1
512	0.0005654295321	1	1
513	0.0005654295321	1	1
514	0.0005654261999	1	1
515	0.0005654254098	1	1
516	0.0005654112927	1	1
517	0.0005654070931	1	1
518	0.0005654070931	1	1
519	0.0005654070931	1	1
520	0.0005653999766	1	1
521	0.0005653881132	1	1
522	0.0005653741501	1	1
523	0.0005653679911	1	1
524	0.0005653572749	1	1
525	0.0005653546173	1	1
526	0.0005653489534	1	1
527	0.0005653489534	1	1
528	0.000565343503	1	1
529	0.000565343503	1	1
530	0.0005653420164	1	1
531	0.0005653360917	1	1
532	0.0005653224471	1	1
533	0.0005653048909	1	1
534	0.00056529784	1	1
535	0.0005652910586	1	1
536	0.000565287389	1	1
537	0.0005652791741	1	1
538	0.0005652767026	1	1
539	0.0005652705634	1	1
540	0.0005652643219	1	1
541	0.0005652567804	1	1
542	0.0005652483617	1	1
543	0.0005652483617	1	1
544	0.0005652419856	1	1
545	0.0005652285388	1	1
546	0.0005652285388	1	1
547	0.0005652226831	1	1
548	0.0005652142656	1	1
549	0.0005652108645	1	1
550	0.0005652074601	1	1
551	0.000565201635	1	1
552	0.000565201635	1	1
553	0.000565198653	1	1
554	0.0005651915129	1	1
555	0.0005651878026	1	1
556	0.0005651741304	1	1
557	0.0005651740226	1	1
558	0.0005651704398	1	1
559	0.0005651637241	1	1
560	0.0005651568011	1	1
561	0.0005651504233	1	1
562	0.000565145269	1	1
563	0.0005651440072	1	1
564	0.0005651426838	1	1
565	0.0005651416295	1	1
566	0.0005651246092	1	1
567	0.0005651190016	1	1
568	0.0005651128925	1	1
569	0.0005651033006	1	1
570	0.0005651004053	1	1
571	0.0005650944468	1	1
572	0.0005650915229	1	1
573	0.0005650860238	1	1
574	0.0005650860238	1	1
575	0.0005650814061	1	1
576	0.0005650752058	1	1
577	0.0005650654963	1	1
578	0.0005650621689	1	1
579	0.0005650559328	1	1
580	0.0005650499249	1	1
581	0.0005650453336	1	1
582	0.0005650423404	1	1
583	0.0005650403143	1	1
584	0.0005650161836	1	1
585	0.0005650161836	1	1
586	0.0005650144912	1	1
587	0.0005650144912	1	1
588	0.0005650111104	1	1
589	0.000565005913	1	1
590	0.0005649924276	1	1
591	0.0005649894761	1	1
592	0.0005649684146	1	1
593	0.0005649536499	1	1
594	0.0005649475091	1	1
595	0.0005649475091	1	1
596	0.0005649344944	1	1
597	0.0005649206061	1	1
598	0.0005649128461	1	1
599	0.0005649059299	1	1
600	0.0005649059299	1	1
601	0.000564898681	1	1
602	0.0005648871422	1	1
603	0.0005648741058	1	1
604	0.0005648741058	1	1
605	0.0005648741058	1	1
606	0.0005648579343	1	1
607	0.0005648494474	1	1
608	0.0005648494474	1	1
609	0.0005648447504	1	1
610	0.0005648379345	1	1
611	0.0005648346249	1	1
612	0.0005648346249	1	1
613	0.0005648204185	1	1
614	0.0005648160037	1	1
615	0.0005648110988	1	1
616	0.0005648052375	1	1
617	0.0005647921957	1	1
618	0.000564788919	1	1
619	0.000564788919	1	1
620	0.000564782665	1	1
621	0.0005647768865	1	1
622	0.0005647737574	1	1
623	0.000564766845	1	1
624	0.0005647458437	1	1
625	0.0005647458437	1	1
626	0.000564738901	1	1
627	0.000564729601	1	1
628	0.0005647162297	1	1
629	0.0005647021494	1	1
630	0.0005647021494	1	1
631	0.0005646990436	1	1
632	0.000564696386	1	1
633	0.000564696386	1	1
634	0.0005646712456	1	1
635	0.0005646666758	1	1
636	0.0005646666758	1	1
637	0.0005646575031	1	1
638	0.000564654268	1	1
639	0.000564654268	1	1
640	0.000564643851	1	1
641	0.000564643471	1	1
642	0.00056463568	1	1
643	0.0005646323314	1	1
644	0.0005646323314	1	1
645	0.0005646257372	1	1
646	0.0005646223736	1	1
647	0.0005646173655	1	1
648	0.0005646030508	1	1
649	0.0005645984339	1	1
650	0.0005645857215	1	1
651	0.0005645857215	1	1
652	0.000564573891	1	1
653	0.0005645625246	1	1
654	0.0005645493776	1	1
655	0.0005645390164	1	1
656	0.0005645181796	1	1
657	0.0005645160371	1	1
658	0.0005645040551	1	1
659	0.0005645000283	1	1
660	0.0005644960294	1	1
661	0.0005644888486	1	1
662	0.0005644843651	1	1
663	0.0005644780332	1	1
664	0.0005644747134	1	1
665	0.0005644679393	1	1
666	0.0005644640662	1	1
667	0.000564452925	1	1
668	0.000564452925	1	1
669	0.0005644412469	1	1
670	0.0005644412469	1	1
671	0.0005644412469	1	1
672	0.0005644412469	1	1
673	0.0005644303425	1	1
674	0.0005644268824	1	1
675	0.000564412156	1	1
676	0.000564412156	1	1
677	0.0005644113787	1	1
678	0.0005644072719	1	1
679	0.0005644016291	1	1
680	0.0005643982794	1	1
681	0.0005643840182	1	1
682	0.0005643763294	1	1
683	0.0005643721875	1	1
684	0.0005643653417	1	1
685	0.000564355169	1	1
686	0.0005643467349	1	1
687	0.0005643443394	1	1
688	0.0005643328265	1	1
689	0.0005643076484	1	1
690	0.0005643076484	1	1
691	0.0005642941455	1	1
692	0.0005642941455	1	1
693	0.0005642848871	1	1
694	0.0005642830498	1	1
695	0.0005642750038	1	1
696	0.0005642750038	1	1
697	0.0005642750038	1	1
698	0.0005642721517	1	1
699	0.0005642648115	1	1
700	0.0005642648115	1	1
701	0.0005642648115	1	1
702	0.0005642648115	1	1
703	0.0005642596983	1	1
704	0.0005642457415	1	1
705	0.0005642275619	1	1
706	0.0005642237884	1	1
707	0.0005642135417	1	1
708	0.0005642073683	1	1
709	0.0005642001558	1	1
710	0.0005641742372	1	1
711	0.0005641626023	1	1
712	0.0005641626023	1	1
713	0.0005641596219	1	1
714	0.0005641484266	1	1
715	0.0005641484266	1	1
716	0.0005641417115	1	1
717	0.0005641417115	1	1
718	0.0005641303244	1	1
719	0.0005641244624	1	1
720	0.0005641168678	1	1
721	0.0005641109579	1	1
722	0.0005641074376	1	1
723	0.0005641053931	1	1
724	0.0005640978462	1	1
725	0.0005640849302	1	1
726	0.0005640657761	1	1
727	0.0005640657761	1	1
728	0.0005640594848	1	1
729	0.0005640499819	1	1
730	0.0005640458746	1	1
731	0.0005640429959	1	1
732	0.0005640302126	1	1
733	0.0005640265042	1	1
734	0.0005640227337	1	1
735	0.00056401992	1	1
736	0.00056401992	1	1
737	0.0005639988019	1	1
738	0.0005639988019	1	1
739	0.0005639852498	1	1
740	0.0005639828528	1	1
741	0.0005639811147	1	1
742	0.0005639601764	1	1
743	0.0005639601764	1	1
744	0.0005639601764	1	1
745	0.0005639601764	1	1
746	0.0005639567678	1	1
747	0.0005639567678	1	1
748	0.0005639434117	1	1
749	0.0005639308118	1	1
750	0.0005639278949	1	1
751	0.0005639153032	1	1
752	0.0005639153032	1	1
753	0.0005639153032	1	1
754	0.000563903108	1	1
755	0.000563903108	1	1
756	0.000563903108	1	1
757	0.000563903108	1	1
758	0.0005638966178	1	1
759	0.0005638854799	1	1
760	0.0005638854799	1	1
761	0.0005638854799	1	1
762	0.0005638854799	1	1
763	0.0005638828443	1	1
764	0.0005638796587	1	1
765	0.000563873456	1	1
766	0.0005638695307	1	1
767	0.0005638553017	1	1
768	0.0005638525862	1	1
769	0.0005638464221	1	1
770	0.0005638464221	1	1
771	0.0005638412703	1	1
772	0.0005638246749	1	1
773	0.0005638215485	1	1
774	0.0005638215485	1	1
775	0.0005638186464	1	1
776	0.0005638116409	1	1
777	0.0005638085707	1	1
778	0.0005638085707	1	1
779	0.0005638018726	1	1
780	0.0005638018726	1	1
781	0.0005637951804	1	1
782	0.0005637951804	1	1
783	0.0005637925032	1	1
784	0.0005637886404	1	1
785	0.0005637828264	1	1
786	0.0005637741142	1	1
787	0.0005637705912	1	1
788	0.0005637681415	1	1
789	0.0005637627837	1	1
790	0.0005637627837	1	1
791	0.0005637562958	1	1
792	0.0005637562958	1	1
793	0.0005637426759	1	1
794	0.0005637344787	1	1
795	0.000563731181	1	1
796	0.0005637268115	1	1
797	0.0005637068602	1	1
798	0.0005636984548	1	1
799	0.0005636889337	1	1
